DATE,WALCL
2005-01-05,815702
2005-01-12,798455
2005-01-19,806960
2005-01-26,807262
2005-02-02,804746
2005-02-09,797299
2005-02-16,795606
2005-02-23,804576
2005-03-02,801252
2005-03-09,799250
2005-03-16,807211
2005-03-23,797094
2005-03-30,807551
2005-04-06,797327
2005-04-13,805707
2005-04-20,801793
2005-04-27,809797
2005-05-04,802412
2005-05-11,808378
2005-05-18,801546
2005-05-25,810160
2005-06-01,817335
2005-06-08,814172
2005-06-15,811198
2005-06-22,810429
2005-06-29,810082
2005-07-06,821556
2005-07-13,808861
2005-07-20,816804
2005-07-27,814259
2005-08-03,818841
2005-08-10,808544
2005-08-17,813774
2005-08-24,811313
2005-08-31,823237
2005-09-07,822500
2005-09-14,823590
2005-09-21,812926
2005-09-28,823771
2005-10-05,817137
2005-10-12,826306
2005-10-19,814281
2005-10-26,819105
2005-11-02,814571
2005-11-09,824991
2005-11-16,823263
2005-11-23,833124
2005-11-30,835059
2005-12-07,833250
2005-12-14,830950
2005-12-21,848317
2005-12-28,847700
2006-01-04,851856
2006-01-11,829357
2006-01-18,836042
2006-01-25,828901
2006-02-01,831808
2006-02-08,827613
2006-02-15,835240
2006-02-22,840555
2006-03-01,839356
2006-03-08,839234
2006-03-15,843010
2006-03-22,838003
2006-03-29,833675
2006-04-05,834589
2006-04-12,836862
2006-04-19,836352
2006-04-26,844572
2006-05-03,843867
2006-05-10,838405
2006-05-17,838153
2006-05-24,840251
2006-05-31,851580
2006-06-07,849074
2006-06-14,845869
2006-06-21,844773
2006-06-28,844436
2006-07-05,851659
2006-07-12,844391
2006-07-19,849894
2006-07-26,841552
2006-08-02,850263
2006-08-09,840006
2006-08-16,842876
2006-08-23,837987
2006-08-30,850925
2006-09-06,848594
2006-09-13,840886
2006-09-20,838192
2006-09-27,849971
2006-10-04,842296
2006-10-11,859339
2006-10-18,844200
2006-10-25,852648
2006-11-01,855536
2006-11-08,858630
2006-11-15,855551
2006-11-22,865126
2006-11-29,856671
2006-12-06,862178
2006-12-13,853851
2006-12-20,865010
2006-12-27,869988
2007-01-03,874626
2007-01-10,854819
2007-01-17,859363
2007-01-24,851755
2007-01-31,865730
2007-02-07,855057
2007-02-14,867199
2007-02-21,869235
2007-02-28,877409
2007-03-07,864505
2007-03-14,876108
2007-03-21,863067
2007-03-28,869803
2007-04-04,862319
2007-04-11,865441
2007-04-18,861335
2007-04-25,879686
2007-05-02,890857
2007-05-09,875270
2007-05-16,859559
2007-05-23,873935
2007-05-30,876986
2007-06-06,872706
2007-06-13,864989
2007-06-20,866089
2007-06-27,865105
2007-07-04,876611
2007-07-11,869407
2007-07-18,872916
2007-07-25,863890
2007-08-01,870261
2007-08-08,865453
2007-08-15,864931
2007-08-22,862775
2007-08-29,872873
2007-09-05,871156
2007-09-12,886314
2007-09-19,867732
2007-09-26,889900
2007-10-03,869051
2007-10-10,886363
2007-10-17,869509
2007-10-24,881395
2007-10-31,883385
2007-11-07,885724
2007-11-14,889537
2007-11-21,891028
2007-11-28,879417
2007-12-05,882764
2007-12-12,881750
2007-12-19,887983
2007-12-26,890662
2008-01-02,922187
2008-01-09,880754
2008-01-16,893581
2008-01-23,877253
2008-01-30,900264
2008-02-06,871022
2008-02-13,883005
2008-02-20,878949
2008-02-27,893825
2008-03-05,881208
2008-03-12,896565
2008-03-19,888646
2008-03-26,893965
2008-04-02,883708
2008-04-09,893029
2008-04-16,881904
2008-04-23,885781
2008-04-30,888131
2008-05-07,889228
2008-05-14,880175
2008-05-21,898487
2008-05-28,904054
2008-06-04,895939
2008-06-11,890610
2008-06-18,902304
2008-06-25,892713
2008-07-02,902962
2008-07-09,898034
2008-07-16,910681
2008-07-23,899665
2008-07-30,918625
2008-08-06,901710
2008-08-13,914632
2008-08-20,898611
2008-08-27,909982
2008-09-03,905253
2008-09-10,925725
2008-09-17,995093
2008-09-24,1211825
2008-10-01,1503989
2008-10-08,1591587
2008-10-15,1770809
2008-10-22,1802602
2008-10-29,1969086
2008-11-05,2074205
2008-11-12,2212852
2008-11-19,2187137
2008-11-26,2106117
2008-12-03,2136924
2008-12-10,2250012
2008-12-17,2254983
2008-12-24,2232311
2008-12-31,2239457
2009-01-07,2121439
2009-01-14,2049714
2009-01-21,2037112
2009-01-28,1927082
2009-02-04,1851437
2009-02-11,1843400
2009-02-18,1915562
2009-02-25,1916115
2009-03-04,1901317
2009-03-11,1899514
2009-03-18,2066942
2009-03-25,2071556
2009-04-01,2078936
2009-04-08,2088573
2009-04-15,2186498
2009-04-22,2196812
2009-04-29,2066712
2009-05-06,2079758
2009-05-13,2196351
2009-05-20,2181632
2009-05-27,2080115
2009-06-03,2077695
2009-06-10,2052297
2009-06-17,2072527
2009-06-24,2025571
2009-07-01,2005627
2009-07-08,1992740
2009-07-15,2072451
2009-07-22,2039001
2009-07-29,2000547
2009-08-05,1989203
2009-08-12,2014899
2009-08-19,2060641
2009-08-26,2074902
2009-09-02,2083720
2009-09-09,2087946
2009-09-16,2139783
2009-09-23,2158631
2009-09-30,2141020
2009-10-07,2138086
2009-10-14,2192787
2009-10-21,2201119
2009-10-28,2161537
2009-11-04,2165067
2009-11-11,2135035
2009-11-18,2208721
2009-11-25,2206359
2009-12-02,2204074
2009-12-09,2186383
2009-12-16,2235763
2009-12-23,2235803
2009-12-30,2234067
2010-01-06,2235304
2010-01-13,2291700
2010-01-20,2251806
2010-01-27,2246886
2010-02-03,2249319
2010-02-10,2256679
2010-02-17,2277574
2010-02-24,2286127
2010-03-03,2280147
2010-03-10,2282474
2010-03-17,2307997
2010-03-24,2313149
2010-03-31,2307150
2010-04-07,2307575
2010-04-14,2339345
2010-04-21,2337556
2010-04-28,2330472
2010-05-05,2326164
2010-05-12,2336103
2010-05-19,2350890
2010-05-26,2334041
2010-06-02,2336216
2010-06-09,2331529
2010-06-16,2344316
2010-06-23,2344497
2010-06-30,2330851
2010-07-07,2332017
2010-07-14,2340717
2010-07-21,2332322
2010-07-28,2325298
2010-08-04,2326479
2010-08-11,2327533
2010-08-18,2313662
2010-08-25,2301015
2010-09-01,2301996
2010-09-08,2305802
2010-09-15,2296079
2010-09-22,2307171
2010-09-29,2298691
2010-10-06,2308092
2010-10-13,2309885
2010-10-20,2305227
2010-10-27,2295392
2010-11-03,2300353
2010-11-10,2312768
2010-11-17,2314757
2010-11-24,2346001
2010-12-01,2346920
2010-12-08,2382294
2010-12-15,2385754
2010-12-22,2427921
2010-12-29,2420570
2011-01-05,2436064
2011-01-12,2468131
2011-01-19,2425164
2011-01-26,2443527
2011-02-02,2469419
2011-02-09,2500481
2011-02-16,2508868
2011-02-23,2533221
2011-03-02,2545119
2011-03-09,2577076
2011-03-16,2583046
2011-03-23,2601341
2011-03-30,2622523
2011-04-06,2648676
2011-04-13,2665408
2011-04-20,2685782
2011-04-27,2690985
2011-05-04,2718757
2011-05-11,2744498
2011-05-18,2758009
2011-05-25,2774996
2011-06-01,2788723
2011-06-08,2811206
2011-06-15,2827549
2011-06-22,2856403
2011-06-29,2865251
2011-07-06,2870103
2011-07-13,2878074
2011-07-20,2871301
2011-07-27,2863576
2011-08-03,2867215
2011-08-10,2872423
2011-08-17,2857906
2011-08-24,2859433
2011-08-31,2853888
2011-09-07,2858660
2011-09-14,2863540
2011-09-21,2857747
2011-09-28,2850921
2011-10-05,2859701
2011-10-12,2860822
2011-10-19,2852390
2011-10-26,2845685
2011-11-02,2822034
2011-11-09,2839786
2011-11-16,2831576
2011-11-23,2821980
2011-11-30,2814235
2011-12-07,2820691
2011-12-14,2902488
2011-12-21,2916085
2011-12-28,2926095
2012-01-04,2917689
2012-01-11,2899149
2012-01-18,2919423
2012-01-25,2919545
2012-02-01,2924947
2012-02-08,2928275
2012-02-15,2937893
2012-02-22,2932813
2012-02-29,2925722
2012-03-07,2884747
2012-03-14,2893560
2012-03-21,2892646
2012-03-28,2878137
2012-04-04,2865478
2012-04-11,2867200
2012-04-18,2875470
2012-04-25,2866561
2012-05-02,2864280
2012-05-09,2864150
2012-05-16,2850984
2012-05-23,2859495
2012-05-30,2842654
2012-06-06,2852018
2012-06-13,2869071
2012-06-20,2870846
2012-06-27,2863547
2012-07-04,2865858
2012-07-11,2866279
2012-07-18,2855807
2012-07-25,2846757
2012-08-01,2851118
2012-08-08,2856181
2012-08-15,2833317
2012-08-22,2825661
2012-08-29,2812806
2012-09-05,2822169
2012-09-12,2823448
2012-09-19,2821574
2012-09-26,2804457
2012-10-03,2808512
2012-10-10,2811623
2012-10-17,2846920
2012-10-24,2840964
2012-10-31,2823137
2012-11-07,2830791
2012-11-14,2877244
2012-11-21,2871161
2012-11-28,2851362
2012-12-05,2859807
2012-12-12,2917260
2012-12-19,2920231
2012-12-26,2907300
2013-01-02,2917189
2013-01-09,2928728
2013-01-16,2963812
2013-01-23,3011697
2013-01-30,3008704
2013-02-06,3014975
2013-02-13,3074225
2013-02-20,3095150
2013-02-27,3090600
2013-03-06,3108805
2013-03-13,3165396
2013-03-20,3206888
2013-03-27,3202256
2013-04-03,3215432
2013-04-10,3227762
2013-04-17,3295109
2013-04-24,3318649
2013-05-01,3317194
2013-05-08,3324615
2013-05-15,3354269
2013-05-22,3398713
2013-05-29,3385128
2013-06-05,3400183
2013-06-12,3410842
2013-06-19,3470530
2013-06-26,3478672
2013-07-03,3492742
2013-07-10,3504095
2013-07-17,3537861
2013-07-24,3574574
2013-07-31,3571797
2013-08-07,3585359
2013-08-14,3646323
2013-08-21,3645668
2013-08-28,3644456
2013-09-04,3654182
2013-09-11,3662035
2013-09-18,3722192
2013-09-25,3734018
2013-10-02,3747387
2013-10-09,3758663
2013-10-16,3813599
2013-10-23,3839033
2013-10-30,3843396
2013-11-06,3851623
2013-11-13,3907424
2013-11-20,3906620
2013-11-27,3925876
2013-12-04,3932626
2013-12-11,3993955
2013-12-18,4008062
2013-12-25,4032575
2014-01-01,4023640
2014-01-08,4028185
2014-01-15,4071528
2014-01-22,4097914
2014-01-29,4102138
2014-02-05,4109285
2014-02-12,4119474
2014-02-19,4149224
2014-02-26,4159972
2014-03-05,4171762
2014-03-12,4181361
2014-03-19,4222081
2014-03-26,4226971
2014-04-02,4236441
2014-04-09,4244188
2014-04-16,4283967
2014-04-23,4296339
2014-04-30,4296049
2014-05-07,4303143
2014-05-14,4336649
2014-05-21,4327560
2014-05-28,4322654
2014-06-04,4330917
2014-06-11,4340904
2014-06-18,4368168
2014-06-25,4368348
2014-07-02,4377031
2014-07-09,4383401
2014-07-16,4398201
2014-07-23,4410746
2014-07-30,4406637
2014-08-06,4410111
2014-08-13,4431923
2014-08-20,4412924
2014-08-27,4413736
2014-09-03,4415587
2014-09-10,4421408
2014-09-17,4449588
2014-09-24,4459050
2014-10-01,4450260
2014-10-08,4455403
2014-10-15,4474360
2014-10-22,4481616
2014-10-29,4486754
2014-11-05,4486585
2014-11-12,4488895
2014-11-19,4492759
2014-11-26,4485931
2014-12-03,4486190
2014-12-10,4488865
2014-12-17,4502247
2014-12-24,4509462
2014-12-31,4497660
2015-01-07,4499524
2015-01-14,4516077
2015-01-21,4512936
2015-01-28,4500064
2015-02-04,4500348
2015-02-11,4501685
2015-02-18,4496851
2015-02-25,4486725
2015-03-04,4487583
2015-03-11,4489279
2015-03-18,4495888
2015-03-25,4480603
2015-04-01,4481799
2015-04-08,4483419
2015-04-15,4485366
2015-04-22,4489695
2015-04-29,4471499
2015-05-06,4472703
2015-05-13,4501188
2015-05-20,4480384
2015-05-27,4463981
2015-06-03,4465360
2015-06-10,4468005
2015-06-17,4487817
2015-06-24,4495055
2015-07-01,4479130
2015-07-08,4481289
2015-07-15,4493605
2015-07-22,4500503
2015-07-29,4485480
2015-08-05,4486329
2015-08-12,4489250
2015-08-19,4487208
2015-08-26,4475105
2015-09-02,4475886
2015-09-09,4478213
2015-09-16,4487809
2015-09-23,4497484
2015-09-30,4484111
2015-10-07,4486185
2015-10-14,4504704
2015-10-21,4501372
2015-10-28,4489339
2015-11-04,4489702
2015-11-11,4492012
2015-11-18,4486721
2015-11-25,4477088
2015-12-02,4478069
2015-12-09,4480436
2015-12-16,4489593
2015-12-23,4496523
2015-12-30,4486587
2016-01-06,4486606
2016-01-13,4501695
2016-01-20,4488840
2016-01-27,4482349
2016-02-03,4483495
2016-02-10,4486278
2016-02-17,4483629
2016-02-24,4489796
2016-03-02,4478485
2016-03-09,4481083
2016-03-16,4486333
2016-03-23,4492857
2016-03-30,4482840
2016-04-06,4484069
2016-04-13,4499729
2016-04-20,4490131
2016-04-27,4474665
2016-05-04,4477270
2016-05-11,4478411
2016-05-18,4473741
2016-05-25,4461111
2016-06-01,4461393
2016-06-08,4463542
2016-06-15,4472817
2016-06-22,4482009
2016-06-29,4466482
2016-07-06,4470605
2016-07-13,4472202
2016-07-20,4480973
2016-07-27,4464498
2016-08-03,4466793
2016-08-10,4468929
2016-08-17,4466476
2016-08-24,4473840
2016-08-31,4457907
2016-09-07,4459394
2016-09-14,4481635
2016-09-21,4473032
2016-09-28,4452002
2016-10-05,4459407
2016-10-12,4457698
2016-10-19,4467382
2016-10-26,4454326
2016-11-02,4453087
2016-11-09,4455087
2016-11-16,4453633
2016-11-23,4465782
2016-11-30,4446307
2016-12-07,4448618
2016-12-14,4470973
2016-12-21,4469089
2016-12-28,4451451
2017-01-04,4453101
2017-01-11,4452509
2017-01-18,4460758
2017-01-25,4452838
2017-02-01,4453881
2017-02-08,4456236
2017-02-15,4454676
2017-02-22,4468702
2017-03-01,4458018
2017-03-08,4459840
2017-03-15,4469577
2017-03-22,4478236
2017-03-29,4469618
2017-04-05,4474634
2017-04-12,4484492
2017-04-19,4479270
2017-04-26,4470142
2017-05-03,4471246
2017-05-10,4473459
2017-05-17,4467108
2017-05-24,4470852
2017-05-31,4459914
2017-06-07,4462443
2017-06-14,4476269
2017-06-21,4474257
2017-06-28,4463347
2017-07-05,4467272
2017-07-12,4466702
2017-07-19,4476903
2017-07-26,4465284
2017-08-02,4466846
2017-08-09,4469083
2017-08-16,4462871
2017-08-23,4463837
2017-08-30,4452360
2017-09-06,4453474
2017-09-13,4471174
2017-09-20,4458576
2017-09-27,4455661
2017-10-04,4460422
2017-10-11,4459415
2017-10-18,4469723
2017-10-25,4461117
2017-11-01,4455887
2017-11-08,4458552
2017-11-15,4448289
2017-11-22,4450615
2017-11-29,4438592
2017-12-06,4437148
2017-12-13,4452726
2017-12-20,4447470
2017-12-27,4448680
2018-01-03,4443718
2018-01-10,4446062
2018-01-17,4439145
2018-01-24,4441317
2018-01-31,4419225
2018-02-07,4420745
2018-02-14,4434863
2018-02-21,4411660
2018-02-28,4393401
2018-03-07,4396097
2018-03-14,4407258
2018-03-21,4401222
2018-03-28,4392198
2018-04-04,4386104
2018-04-11,4383684
2018-04-18,4385903
2018-04-25,4372886
2018-05-02,4356129
2018-05-09,4358207
2018-05-16,4337609
2018-05-23,4337301
2018-05-30,4327519
2018-06-06,4319191
2018-06-13,4324906
2018-06-20,4315896
2018-06-27,4305491.0
2018-07-04,4289764.0
2018-07-11,4291201.0
2018-07-18,4291615.0
2018-07-25,4277681.0
2018-08-01,4255653.0
2018-08-08,4258030.0
2018-08-15,4228924.0
2018-08-22,4228818.0
2018-08-29,4218914.0
2018-09-05,4208496.0
2018-09-12,4210812.0
2018-09-19,4208059.0
2018-09-26,4192909.0
2018-10-03,4174704.0
2018-10-10,4176906.0
2018-10-17,4175446.0
2018-10-24,4173070.0
2018-10-31,4139731.0
2018-11-07,4141936.0
2018-11-14,4145892.0
2018-11-21,4106198.0
2018-11-28,4097170.0
2018-12-05,4086044.0
2018-12-12,4088314.0
2018-12-19,4084274.0
2018-12-26,4075636.0
2019-01-02,4058378.0
2019-01-09,4056563.0
2019-01-16,4050044.0
2019-01-23,4047052.0
2019-01-30,4039678.0
2019-02-06,4026350.0
2019-02-13,4028431.0
2019-02-20,3981420.0
2019-02-27,3974590.0
2019-03-06,3969134.0
2019-03-13,3971559.0
2019-03-20,3962748.0
2019-03-27,3955617.0
2019-04-03,3935509.0
2019-04-10,3936784.0
2019-04-17,3931827.0
2019-04-24,3928273.0
2019-05-01,3889691.0
2019-05-08,3892216.0
2019-05-15,3864749.0
2019-05-22,3860435.0
2019-05-29,3851444.0
2019-06-05,3847645.0
2019-06-12,3849955.0
2019-06-19,3844016.0
2019-06-26,3826817.0
2019-07-03,3813198.0
2019-07-10,3815038.0
2019-07-17,3808110.0
2019-07-24,3803436.0
2019-07-31,3779102.0
2019-08-07,3781543.0
2019-08-14,3786018.0
2019-08-21,3764866.0
2019-08-28,3759946.0
2019-09-04,3761508.0
2019-09-11,3769673.0
2019-09-18,3844695.0
2019-09-25,3857715.0
2019-10-02,3945831.0
2019-10-09,3949955.0
2019-10-16,3966471.0
2019-10-23,3968700.0
2019-10-30,4019823.0
2019-11-06,4039443.0
2019-11-13,4047882.0
2019-11-20,4030249.0
2019-11-27,4052875.0
2019-12-04,4065696.0
2019-12-11,4095491.0
2019-12-18,4137052.0
2019-12-25,4165591.0
2020-01-01,4173626.0
2020-01-08,4149544.0
2020-01-15,4175850.0
2020-01-22,4145912.0
2020-01-29,4151630.0
2020-02-05,4166707.0
2020-02-12,4182689.0
2020-02-19,4171570.0
2020-02-26,4158637.0
2020-03-04,4241507.0
2020-03-11,4311911.0
2020-03-18,4668212.0
2020-03-25,5254278.0
2020-04-01,5811607.0
2020-04-08,6083141.0
2020-04-15,6367887.0
2020-04-22,6573136.0
2020-04-29,6655929.0
2020-05-06,6721420.0
2020-05-13,6934227.0
2020-05-20,7037258.0
2020-05-27,7097316.0
2020-06-03,7165217.0
2020-06-10,7168936.0
2020-06-17,7094690.0
2020-06-24,7082302.0
2020-07-01,7009040.0
2020-07-08,6920716.0
2020-07-15,6958604.0
2020-07-22,6964755.0
2020-07-29,6949032.0
2020-08-05,6945237.0
2020-08-12,6957277.0
2020-08-19,7010637.0
2020-08-26,6990418.0
2020-09-02,7017492.0
2020-09-09,7010614.0
2020-09-16,7064475.0
2020-09-23,7093161.0
2020-09-30,7056129.0
2020-10-07,7074649.0
2020-10-14,7151426.0
2020-10-21,7177265.0
2020-10-28,7146306.0
2020-11-04,7157479.0
2020-11-11,7175417.0
2020-11-18,7243080.0
2020-11-25,7216480.0
2020-12-02,7222414.0
2020-12-09,7242658.0
2020-12-16,7362592.0
2020-12-23,7404039.0
2020-12-30,7363351.0
2021-01-06,7334809.0
2021-01-13,7333968.0
2021-01-20,7414942.0
2021-01-27,7404926.0
2021-02-03,7410598.0
2021-02-10,7442225.0
2021-02-17,7557402.0
2021-02-24,7590111.0
2021-03-03,7557524.0
2021-03-10,7579901.0
2021-03-17,7693506.0
2021-03-24,7719622.0
2021-03-31,7688988.0
2021-04-07,7708882.0
2021-04-14,7793104.0
2021-04-21,7820948.0
2021-04-28,7780962.0
2021-05-05,7810486.0
2021-05-12,7830663.0
2021-05-19,7922883.0
2021-05-26,7903541.0
2021-06-02,7935703.0
2021-06-09,7952327.0
2021-06-16,8064257.0
2021-06-23,8101945.0
2021-06-30,8078544.0
2021-07-07,8097773.0
2021-07-14,8201651.0
2021-07-21,8240530.0
2021-07-28,8221473.0
2021-08-04,8235073.0
2021-08-11,8257159.0
2021-08-18,8342598.0
2021-08-25,8332743.0
2021-09-01,8349173.0
2021-09-08,8357314.0
2021-09-15,8448770.0
2021-09-22,8489824.0
2021-09-29,8447981.0
2021-10-06,8464032.0
2021-10-13,8480942.0
2021-10-20,8564943.0
2021-10-27,8556181.0
2021-11-03,8574871.0
2021-11-10,8663117.0
2021-11-17,8674970.0
2021-11-24,8681771.0
2021-12-01,8650402.0
2021-12-08,8664524.0
2021-12-15,8756666.0
2021-12-22,8790495.0
2021-12-29,8757460.0
2022-01-05,8765721.0
2022-01-12,8788278.0
2022-01-19,8867834.0
2022-01-26,8860485.0
2022-02-02,8873211.0
2022-02-09,8878009.0
2022-02-16,8911033.0
2022-02-23,8928129.0
2022-03-02,8904455.0
2022-03-09,8910748.0
2022-03-16,8954306.0
2022-03-23,8962474.0
2022-03-30,8937142.0
2022-04-06,8937592.0
2022-04-13,8965487.0
2022-04-20,8955851.0
2022-04-27,8939199.0
2022-05-04,8939972.0
2022-05-11,8942008.0
2022-05-18,8945898.0
2022-05-25,8914281.0
2022-06-01,8915050.0
2022-06-08,8918254.0
2022-06-15,8932420.0
2022-06-22,8934346.0
2022-06-29,8913553.0
2022-07-06,8891851.0
2022-07-13,8895867.0
2022-07-20,8899213.0
2022-07-27,8890004.0
2022-08-03,8874620.0
2022-08-10,8879138.0
2022-08-17,8849762.0
2022-08-24,8851436.0
2022-08-31,8826093.0
2022-09-07,8822401.0
2022-09-14,8832759.0
2022-09-21,8816802.0
2022-09-28,8795567.0
2022-10-05,8759053.0
2022-10-12,8758969.0
2022-10-19,8743922.0
2022-10-26,8723090.0
2022-11-02,8676870.0
2022-11-09,8678886.0
2022-11-16,8625620.0
2022-11-23,8621390.0
2022-11-30,8584576.0
2022-12-07,8582735.0
2022-12-14,8583413.0
2022-12-21,8564411.0
2022-12-28,8551169.0
2023-01-04,8507429.0
2023-01-11,8508587.0
2023-01-18,8489039.0
2023-01-25,8470557.0
2023-02-01,8433610.0
2023-02-08,8435369.0
2023-02-15,8384767.0
2023-02-22,8382190.0
2023-03-01,8339684.0
2023-03-08,8342283.0
2023-03-15,8639300.0
2023-03-22,8733787.0
2023-03-29,8705942.0
2023-04-05,8632384.0
2023-04-12,8614797.0
2023-04-19,8593263.0
2023-04-26,8562768.0
2023-05-03,8503994.0
2023-05-10,8503017.0
2023-05-17,8456760.0
2023-05-24,8436255.0
2023-05-31,8385854.0
