Date;Value Returns;Momentum Returns;Value-Momentum Spread;Regime;;;;;;;;
31.01.1996;0.8%;-1.9%;2.7%;0;;;;;;;;
29.02.1996;0.3%;0.2%;0.1%;0;;;;;;;;
29.03.1996;0.2%;0.4%;-0.3%;1;;;;;;;;
30.04.1996;0.6%;0.4%;0.3%;0;;;;;;;;
31.05.1996;0.1%;0.2%;-0.1%;1;;;;;;;;
28.06.1996;1.0%;0.8%;0.1%;0;;;;;;;;
31.07.1996;1.5%;-1.3%;2.8%;0;;;;;;;;
30.08.1996;0.2%;0.5%;-0.3%;1;;;;;;;;
30.09.1996;0.3%;2.4%;-2.1%;1;;;;;;;;
31.10.1996;1.5%;1.6%;-0.1%;1;;;;;;;;
29.11.1996;1.0%;0.9%;0.1%;0;;;;;;;;
31.12.1996;1.3%;1.4%;-0.1%;1;;;;;;;;
31.01.1997;0.0%;1.1%;-1.0%;1;;;;;;;;
28.02.1997;1.4%;-0.4%;1.8%;0;;;;;;;;
31.03.1997;0.8%;1.2%;-0.4%;1;;;;;;;;
30.04.1997;-0.2%;2.3%;-2.5%;1;;;;;;;;
30.05.1997;-0.8%;-0.9%;0.1%;0;;;;;;;;
30.06.1997;0.8%;1.4%;-0.6%;1;;;;;;;;
31.07.1997;-0.7%;2.9%;-3.6%;1;;;;;;;;
29.08.1997;0.2%;-1.2%;1.4%;0;;;;;;;;
30.09.1997;-0.3%;2.0%;-2.3%;1;;;;;;;;
31.10.1997;0.2%;-0.3%;0.6%;0;;;;;;;;
28.11.1997;-0.5%;1.7%;-2.3%;1;;;;;;;;
31.12.1997;-0.5%;1.5%;-1.9%;1;;;;;;;;
30.01.1998;0.4%;0.2%;0.2%;0;;;;;;;;
27.02.1998;1.0%;-0.3%;1.4%;0;;;;;;;;
31.03.1998;-0.1%;1.4%;-1.5%;1;;;;;;;;
30.04.1998;-0.3%;0.5%;-0.8%;1;;;;;;;;
29.05.1998;-0.2%;1.7%;-2.0%;1;;;;;;;;
30.06.1998;-1.0%;2.5%;-3.5%;1;;;;;;;;
31.07.1998;-1.1%;1.8%;-3.0%;1;;;;;;;;
31.08.1998;-0.8%;0.2%;-1.1%;1;;;;;;;;
30.09.1998;1.8%;-1.9%;3.7%;0;;;;;;;;
30.10.1998;0.6%;-2.3%;2.9%;0;;;;;;;;
30.11.1998;0.2%;0.5%;-0.3%;1;;;;;;;;
31.12.1998;-1.5%;3.2%;-4.7%;1;;;;;;;;
29.01.1999;-0.1%;0.7%;-0.8%;1;;;;;;;;
26.02.1999;0.4%;-0.5%;0.9%;0;;;;;;;;
31.03.1999;1.3%;-3.5%;4.8%;0;;;;;;;;
30.04.1999;2.9%;-3.3%;6.2%;0;;;;;;;;
31.05.1999;-0.3%;0.1%;-0.4%;1;;;;;;;;
30.06.1999;-0.3%;1.1%;-1.4%;1;;;;;;;;
30.07.1999;-1.2%;-0.5%;-0.7%;1;;;;;;;;
31.08.1999;-1.0%;0.6%;-1.5%;1;;;;;;;;
30.09.1999;-1.7%;1.1%;-2.8%;1;;;;;;;;
29.10.1999;-1.8%;1.7%;-3.5%;1;;;;;;;;
30.11.1999;-2.8%;4.1%;-6.9%;1;;;;;;;;
31.12.1999;-2.2%;3.3%;-5.4%;1;;;;;;;;
31.01.2000;-1.2%;1.3%;-2.5%;1;;;;;;;;
29.02.2000;-4.0%;3.2%;-7.2%;1;;;;;;;;
31.03.2000;1.5%;-2.2%;3.8%;0;;;;;;;;
28.04.2000;1.2%;-1.1%;2.3%;0;;;;;;;;
31.05.2000;-0.2%;-1.1%;0.9%;0;;;;;;;;
30.06.2000;-0.6%;1.2%;-1.8%;1;;;;;;;;
31.07.2000;1.7%;-0.4%;2.1%;0;;;;;;;;
31.08.2000;-1.6%;2.9%;-4.5%;1;;;;;;;;
29.09.2000;0.1%;-0.7%;0.7%;0;;;;;;;;
31.10.2000;0.5%;-0.3%;0.8%;0;;;;;;;;
30.11.2000;1.2%;-0.6%;1.8%;0;;;;;;;;
29.12.2000;1.8%;-0.5%;2.3%;0;;;;;;;;
31.01.2001;1.6%;-3.5%;5.1%;0;;;;;;;;
28.02.2001;1.8%;1.7%;0.2%;0;;;;;;;;
30.03.2001;0.3%;1.2%;-0.9%;1;;;;;;;;
30.04.2001;-0.4%;-1.9%;1.4%;0;;;;;;;;
31.05.2001;-0.2%;0.1%;-0.3%;1;;;;;;;;
29.06.2001;1.3%;1.5%;-0.2%;1;;;;;;;;
31.07.2001;1.1%;0.1%;1.0%;0;;;;;;;;
31.08.2001;0.4%;0.9%;-0.5%;1;;;;;;;;
28.09.2001;-1.4%;1.9%;-3.3%;1;;;;;;;;
31.10.2001;0.7%;-0.9%;1.5%;0;;;;;;;;
30.11.2001;1.8%;-2.3%;4.1%;0;;;;;;;;
31.12.2001;0.2%;-0.3%;0.4%;0;;;;;;;;
31.01.2002;0.8%;0.9%;-0.1%;1;;;;;;;;
28.02.2002;-0.9%;1.0%;-1.9%;1;;;;;;;;
29.03.2002;1.1%;-1.3%;2.4%;0;;;;;;;;
30.04.2002;-0.3%;0.7%;-1.0%;1;;;;;;;;
31.05.2002;1.1%;1.7%;-0.6%;1;;;;;;;;
28.06.2002;-1.0%;1.1%;-2.1%;1;;;;;;;;
31.07.2002;-0.1%;1.5%;-1.6%;1;;;;;;;;
30.08.2002;-0.3%;0.9%;-1.3%;1;;;;;;;;
30.09.2002;-1.3%;3.3%;-4.6%;1;;;;;;;;
31.10.2002;1.9%;-1.7%;3.6%;0;;;;;;;;
29.11.2002;1.6%;-1.5%;3.1%;0;;;;;;;;
31.12.2002;-1.6%;1.7%;-3.3%;1;;;;;;;;
31.01.2003;0.7%;0.6%;0.1%;0;;;;;;;;
28.02.2003;-1.1%;1.8%;-2.9%;1;;;;;;;;
31.03.2003;0.4%;-0.2%;0.6%;0;;;;;;;;
30.04.2003;1.3%;-2.4%;3.6%;0;;;;;;;;
30.05.2003;0.4%;0.7%;-0.4%;1;;;;;;;;
30.06.2003;1.2%;-0.8%;2.0%;0;;;;;;;;
31.07.2003;1.0%;-2.2%;3.2%;0;;;;;;;;
29.08.2003;0.5%;0.3%;0.2%;0;;;;;;;;
30.09.2003;-0.2%;-0.2%;0.0%;0;;;;;;;;
31.10.2003;0.8%;1.1%;-0.3%;1;;;;;;;;
28.11.2003;0.2%;-0.2%;0.4%;0;;;;;;;;
31.12.2003;0.0%;1.1%;-1.1%;1;;;;;;;;
30.01.2004;0.9%;0.4%;0.5%;0;;;;;;;;
27.02.2004;0.6%;1.2%;-0.6%;1;;;;;;;;
31.03.2004;-0.5%;-0.2%;-0.3%;1;;;;;;;;
30.04.2004;-0.3%;-1.5%;1.2%;0;;;;;;;;
31.05.2004;0.2%;-0.6%;0.8%;0;;;;;;;;
30.06.2004;0.2%;0.9%;-0.8%;1;;;;;;;;
30.07.2004;0.3%;1.0%;-0.7%;1;;;;;;;;
31.08.2004;0.9%;-0.1%;1.0%;0;;;;;;;;
30.09.2004;-0.5%;0.8%;-1.3%;1;;;;;;;;
29.10.2004;-0.3%;-0.5%;0.2%;0;;;;;;;;
30.11.2004;0.4%;0.7%;-0.4%;1;;;;;;;;
31.12.2004;0.1%;0.0%;0.1%;0;;;;;;;;
31.01.2005;0.2%;1.1%;-0.9%;1;;;;;;;;
28.02.2005;0.1%;0.3%;-0.2%;1;;;;;;;;
31.03.2005;-0.3%;1.0%;-1.3%;1;;;;;;;;
29.04.2005;0.5%;-0.5%;1.0%;0;;;;;;;;
31.05.2005;0.2%;0.4%;-0.2%;1;;;;;;;;
30.06.2005;0.3%;1.9%;-1.6%;1;;;;;;;;
29.07.2005;0.1%;0.2%;-0.1%;1;;;;;;;;
31.08.2005;-0.9%;1.4%;-2.3%;1;;;;;;;;
30.09.2005;-0.2%;1.3%;-1.6%;1;;;;;;;;
31.10.2005;0.2%;-0.5%;0.7%;0;;;;;;;;
30.11.2005;0.4%;0.2%;0.2%;0;;;;;;;;
30.12.2005;-0.3%;0.2%;-0.5%;1;;;;;;;;
31.01.2006;-0.5%;1.0%;-1.5%;1;;;;;;;;
28.02.2006;1.2%;-0.7%;1.9%;0;;;;;;;;
31.03.2006;-0.5%;0.5%;-1.0%;1;;;;;;;;
28.04.2006;-0.3%;0.9%;-1.2%;1;;;;;;;;
31.05.2006;0.6%;-0.8%;1.4%;0;;;;;;;;
30.06.2006;0.1%;-0.1%;0.2%;0;;;;;;;;
31.07.2006;0.6%;0.0%;0.6%;0;;;;;;;;
31.08.2006;0.5%;-0.6%;1.0%;0;;;;;;;;
29.09.2006;0.7%;-0.3%;1.0%;0;;;;;;;;
31.10.2006;0.2%;0.1%;0.0%;0;;;;;;;;
30.11.2006;-0.6%;-0.1%;-0.5%;1;;;;;;;;
29.12.2006;0.5%;1.4%;-0.9%;1;;;;;;;;
31.01.2007;-0.1%;0.3%;-0.4%;1;;;;;;;;
28.02.2007;0.2%;-0.2%;0.4%;0;;;;;;;;
30.03.2007;-0.5%;0.8%;-1.3%;1;;;;;;;;
30.04.2007;0.0%;1.1%;-1.2%;1;;;;;;;;
31.05.2007;0.3%;0.3%;0.0%;0;;;;;;;;
29.06.2007;-0.1%;0.6%;-0.6%;1;;;;;;;;
31.07.2007;-0.7%;0.7%;-1.4%;1;;;;;;;;
31.08.2007;-0.2%;-0.3%;0.0%;0;;;;;;;;
28.09.2007;-0.9%;2.6%;-3.5%;1;;;;;;;;
31.10.2007;-1.5%;1.6%;-3.1%;1;;;;;;;;
30.11.2007;-0.3%;0.4%;-0.7%;1;;;;;;;;
31.12.2007;-0.4%;1.8%;-2.2%;1;;;;;;;;
31.01.2008;2.0%;-2.7%;4.7%;0;;;;;;;;
29.02.2008;-1.7%;2.5%;-4.2%;1;;;;;;;;
31.03.2008;-0.6%;0.1%;-0.7%;1;;;;;;;;
30.04.2008;0.3%;0.0%;0.3%;0;;;;;;;;
30.05.2008;-1.5%;1.6%;-3.1%;1;;;;;;;;
30.06.2008;-2.6%;4.9%;-7.5%;1;;;;;;;;
31.07.2008;0.9%;-1.5%;2.3%;0;;;;;;;;
29.08.2008;1.7%;-1.2%;2.9%;0;;;;;;;;
30.09.2008;1.7%;-0.2%;1.9%;0;;;;;;;;
31.10.2008;0.7%;1.6%;-0.9%;1;;;;;;;;
28.11.2008;0.5%;2.0%;-1.5%;1;;;;;;;;
31.12.2008;0.1%;1.0%;-0.9%;1;;;;;;;;
30.01.2009;-0.4%;-0.2%;-0.1%;1;;;;;;;;
27.02.2009;-0.9%;0.4%;-1.4%;1;;;;;;;;
31.03.2009;2.6%;-4.3%;6.9%;0;;;;;;;;
30.04.2009;6.9%;-8.0%;14.9%;0;;;;;;;;
29.05.2009;1.0%;-3.9%;4.9%;0;;;;;;;;
30.06.2009;0.1%;-0.1%;0.2%;0;;;;;;;;
31.07.2009;1.7%;0.4%;1.2%;0;;;;;;;;
31.08.2009;0.8%;-1.1%;1.9%;0;;;;;;;;
30.09.2009;0.5%;-0.3%;0.9%;0;;;;;;;;
30.10.2009;-0.5%;1.0%;-1.5%;1;;;;;;;;
30.11.2009;-0.9%;0.6%;-1.4%;1;;;;;;;;
31.12.2009;1.1%;0.7%;0.4%;0;;;;;;;;
29.01.2010;0.8%;-1.6%;2.5%;0;;;;;;;;
26.02.2010;-0.7%;0.8%;-1.5%;1;;;;;;;;
31.03.2010;1.2%;2.7%;-1.6%;1;;;;;;;;
30.04.2010;0.3%;-0.1%;0.3%;0;;;;;;;;
31.05.2010;-0.7%;-1.9%;1.2%;0;;;;;;;;
30.06.2010;-0.2%;-1.5%;1.3%;0;;;;;;;;
30.07.2010;0.7%;-1.1%;1.8%;0;;;;;;;;
31.08.2010;-1.9%;2.4%;-4.3%;1;;;;;;;;
30.09.2010;-0.4%;0.5%;-0.9%;1;;;;;;;;
29.10.2010;0.1%;0.2%;0.0%;1;;;;;;;;
30.11.2010;-1.8%;2.4%;-4.2%;1;;;;;;;;
31.12.2010;-0.2%;0.4%;-0.6%;1;;;;;;;;
31.01.2011;1.8%;-2.1%;3.9%;0;;;;;;;;
28.02.2011;-0.5%;0.2%;-0.7%;1;;;;;;;;
31.03.2011;0.4%;0.7%;-0.3%;1;;;;;;;;
29.04.2011;-0.6%;0.8%;-1.4%;1;;;;;;;;
31.05.2011;-0.6%;1.1%;-1.7%;1;;;;;;;;
30.06.2011;0.5%;-0.8%;1.3%;0;;;;;;;;
29.07.2011;-2.2%;2.6%;-4.8%;1;;;;;;;;
31.08.2011;-1.1%;-0.2%;-0.9%;1;;;;;;;;
30.09.2011;0.8%;-1.7%;2.6%;0;;;;;;;;
31.10.2011;-0.8%;1.9%;-2.7%;1;;;;;;;;
30.11.2011;-2.0%;3.8%;-5.8%;1;;;;;;;;
30.12.2011;1.4%;-0.1%;1.5%;0;;;;;;;;
31.01.2012;0.8%;-2.3%;3.1%;0;;;;;;;;
29.02.2012;-0.1%;-2.0%;1.8%;0;;;;;;;;
30.03.2012;-0.1%;0.6%;-0.7%;1;;;;;;;;
30.04.2012;-1.5%;2.4%;-3.9%;1;;;;;;;;
31.05.2012;-1.0%;3.2%;-4.2%;1;;;;;;;;
29.06.2012;0.5%;-0.9%;1.4%;0;;;;;;;;
31.07.2012;-1.2%;2.5%;-3.7%;1;;;;;;;;
31.08.2012;0.8%;-2.2%;3.0%;0;;;;;;;;
28.09.2012;1.5%;-2.6%;4.1%;0;;;;;;;;
31.10.2012;0.8%;-0.3%;1.1%;0;;;;;;;;
30.11.2012;-0.1%;0.7%;-0.8%;1;;;;;;;;
31.12.2012;1.7%;-0.9%;2.7%;0;;;;;;;;
31.01.2013;0.5%;0.7%;-0.1%;1;;;;;;;;
28.02.2013;-1.0%;1.2%;-2.3%;1;;;;;;;;
29.03.2013;-0.6%;1.3%;-1.8%;1;;;;;;;;
30.04.2013;0.7%;1.7%;-1.0%;1;;;;;;;;
31.05.2013;0.8%;-0.9%;1.7%;0;;;;;;;;
28.06.2013;-0.4%;-0.5%;0.1%;0;;;;;;;;
31.07.2013;0.9%;1.2%;-0.3%;1;;;;;;;;
30.08.2013;1.1%;-0.1%;1.2%;0;;;;;;;;
30.09.2013;-0.3%;1.6%;-1.9%;1;;;;;;;;
31.10.2013;0.4%;0.6%;-0.2%;1;;;;;;;;
29.11.2013;-0.1%;2.3%;-2.4%;1;;;;;;;;
31.12.2013;-0.7%;1.9%;-2.6%;1;;;;;;;;
31.01.2014;0.8%;0.2%;0.6%;0;;;;;;;;
28.02.2014;0.1%;0.5%;-0.5%;1;;;;;;;;
31.03.2014;1.5%;-0.8%;2.3%;0;;;;;;;;
30.04.2014;1.6%;-1.0%;2.6%;0;;;;;;;;
30.05.2014;-0.3%;0.2%;-0.5%;1;;;;;;;;
30.06.2014;-0.1%;0.1%;-0.3%;1;;;;;;;;
31.07.2014;-0.4%;0.6%;-1.0%;1;;;;;;;;
29.08.2014;-0.5%;0.7%;-1.2%;1;;;;;;;;
30.09.2014;-1.6%;1.7%;-3.3%;1;;;;;;;;
31.10.2014;-0.4%;-0.2%;-0.1%;1;;;;;;;;
28.11.2014;-0.9%;1.3%;-2.2%;1;;;;;;;;
31.12.2014;0.1%;1.5%;-1.4%;1;;;;;;;;
30.01.2015;-1.3%;1.1%;-2.5%;1;;;;;;;;
27.02.2015;1.4%;-1.3%;2.7%;0;;;;;;;;
31.03.2015;-1.1%;2.3%;-3.3%;1;;;;;;;;
30.04.2015;2.2%;-3.6%;5.8%;0;;;;;;;;
29.05.2015;-1.6%;1.4%;-3.0%;1;;;;;;;;
30.06.2015;-0.3%;-0.5%;0.2%;0;;;;;;;;
31.07.2015;-1.8%;3.0%;-4.8%;1;;;;;;;;
31.08.2015;0.9%;-0.1%;1.0%;0;;;;;;;;
30.09.2015;-0.7%;0.9%;-1.6%;1;;;;;;;;
30.10.2015;0.5%;-0.7%;1.2%;0;;;;;;;;
30.11.2015;-1.4%;1.3%;-2.7%;1;;;;;;;;
31.12.2015;-1.2%;1.9%;-3.1%;1;;;;;;;;
29.01.2016;-0.3%;0.2%;-0.5%;1;;;;;;;;
29.02.2016;1.3%;-1.0%;2.3%;0;;;;;;;;
31.03.2016;1.3%;-1.6%;2.9%;0;;;;;;;;
29.04.2016;2.6%;-1.7%;4.3%;0;;;;;;;;
31.05.2016;-1.2%;0.4%;-1.6%;1;;;;;;;;
30.06.2016;0.6%;2.4%;-1.8%;1;;;;;;;;
29.07.2016;0.3%;0.1%;0.2%;0;;;;;;;;
31.08.2016;0.7%;-0.9%;1.6%;0;;;;;;;;
30.09.2016;0.0%;0.4%;-0.5%;1;;;;;;;;
31.10.2016;0.5%;-0.8%;1.2%;0;;;;;;;;
30.11.2016;-0.6%;-1.5%;0.9%;0;;;;;;;;
30.12.2016;0.9%;-1.7%;2.6%;0;;;;;;;;
31.01.2017;-0.2%;1.4%;-1.7%;1;;;;;;;;
28.02.2017;-0.4%;0.6%;-0.9%;1;;;;;;;;
31.03.2017;0.3%;-1.0%;1.3%;0;;;;;;;;
28.04.2017;0.0%;-1.2%;1.2%;0;;;;;;;;
31.05.2017;-0.4%;0.0%;-0.5%;1;;;;;;;;
30.06.2017;-0.1%;-0.4%;0.3%;0;;;;;;;;
31.07.2017;0.7%;0.5%;0.2%;0;;;;;;;;
31.08.2017;-0.4%;0.8%;-1.2%;1;;;;;;;;
29.09.2017;0.2%;0.5%;-0.3%;1;;;;;;;;
31.10.2017;-0.2%;0.9%;-1.2%;1;;;;;;;;
30.11.2017;0.2%;-0.1%;0.3%;0;;;;;;;;
29.12.2017;-0.3%;0.2%;-0.5%;1;;;;;;;;
31.01.2018;-0.3%;1.3%;-1.6%;1;;;;;;;;
28.02.2018;-0.1%;-0.6%;0.5%;0;;;;;;;;
30.03.2018;0.4%;0.0%;0.3%;0;;;;;;;;
30.04.2018;0.6%;0.2%;0.5%;0;;;;;;;;
31.05.2018;-0.7%;-0.5%;-0.3%;1;;;;;;;;
29.06.2018;-0.1%;-0.2%;0.1%;0;;;;;;;;
31.07.2018;0.3%;-0.2%;0.5%;0;;;;;;;;
31.08.2018;-0.5%;1.3%;-1.8%;1;;;;;;;;
28.09.2018;0.1%;0.2%;-0.1%;1;;;;;;;;
31.10.2018;0.3%;-0.3%;0.6%;0;;;;;;;;
30.11.2018;-0.6%;-2.3%;1.7%;0;;;;;;;;
31.12.2018;1.3%;0.0%;1.4%;0;;;;;;;;
31.01.2019;0.8%;-0.7%;1.6%;0;;;;;;;;
28.02.2019;0.3%;0.0%;0.3%;0;;;;;;;;
29.03.2019;-0.6%;0.7%;-1.3%;1;;;;;;;;
30.04.2019;0.8%;-0.5%;1.2%;0;;;;;;;;
31.05.2019;-0.4%;2.0%;-2.4%;1;;;;;;;;
28.06.2019;-0.2%;0.1%;-0.3%;1;;;;;;;;
31.07.2019;-1.0%;0.7%;-1.8%;1;;;;;;;;
30.08.2019;-0.8%;2.3%;-3.0%;1;;;;;;;;
30.09.2019;1.0%;-1.6%;2.6%;0;;;;;;;;
31.10.2019;0.4%;-0.3%;0.8%;0;;;;;;;;
29.11.2019;-0.2%;0.3%;-0.5%;1;;;;;;;;
31.12.2019;0.6%;-1.1%;1.7%;0;;;;;;;;
31.01.2020;-1.7%;2.8%;-4.5%;1;;;;;;;;
28.02.2020;0.7%;0.0%;0.8%;0;;;;;;;;
31.03.2020;-0.3%;2.4%;-2.7%;1;;;;;;;;
30.04.2020;-0.3%;-1.4%;1.1%;0;;;;;;;;
29.05.2020;0.4%;-0.7%;1.0%;0;;;;;;;;
30.06.2020;-0.2%;-0.6%;0.4%;0;;;;;;;;
31.07.2020;-1.3%;2.1%;-3.5%;1;;;;;;;;
31.08.2020;-0.1%;-0.8%;0.7%;0;;;;;;;;
30.09.2020;-0.8%;1.0%;-1.8%;1;;;;;;;;
30.10.2020;0.3%;-0.4%;0.7%;0;;;;;;;;
30.11.2020;2.5%;-4.6%;7.1%;0;;;;;;;;
31.12.2020;-0.6%;0.2%;-0.8%;1;;;;;;;;
29.01.2021;0.3%;-0.5%;0.7%;0;;;;;;;;
26.02.2021;1.6%;-2.9%;4.6%;0;;;;;;;;
31.03.2021;0.5%;-1.6%;2.1%;0;;;;;;;;
30.04.2021;-0.1%;0.8%;-0.9%;1;;;;;;;;
31.05.2021;0.9%;0.2%;0.7%;0;;;;;;;;
30.06.2021;-0.3%;-0.1%;-0.2%;1;;;;;;;;
30.07.2021;-0.5%;-0.7%;0.3%;0;;;;;;;;
31.08.2021;-0.1%;0.2%;-0.3%;1;;;;;;;;
30.09.2021;0.7%;1.0%;-0.2%;1;;;;;;;;
29.10.2021;-2.4%;1.1%;-3.5%;1;;;;;;;;
30.11.2021;-0.1%;-1.0%;0.9%;0;;;;;;;;
31.12.2021;0.4%;0.3%;0.1%;0;;;;;;;;
31.01.2022;2.7%;0.9%;1.8%;0;;;;;;;;
28.02.2022;-0.2%;-0.2%;0.0%;1;;;;;;;;
31.03.2022;-1.2%;1.5%;-2.7%;1;;;;;;;;
29.04.2022;0.9%;2.8%;-1.9%;1;;;;;;;;
31.05.2022;1.0%;1.0%;0.1%;0;;;;;;;;
30.06.2022;0.7%;0.7%;0.0%;0;;;;;;;;
29.07.2022;-1.6%;-0.8%;-0.8%;1;;;;;;;;
31.08.2022;1.3%;1.6%;-0.2%;1;;;;;;;;
30.09.2022;2.4%;0.0%;2.3%;0;;;;;;;;
31.10.2022;-1.5%;0.8%;-2.3%;1;;;;;;;;
30.11.2022;1.4%;-3.4%;4.8%;0;;;;;;;;
30.12.2022;2.1%;0.1%;2.0%;0;;;;;;;;
31.01.2023;1.1%;-2.9%;4.0%;0;;;;;;;;
28.02.2023;0.6%;0.8%;-0.2%;1;;;;;;;;
